Reporting Period	ID RSSD	UBPR3210	UBPR4340	UBPR7316	UBPR7402	UBPR7408	UBPR7414	UBPRD486	UBPRD659	UBPRE001	UBPRE002	UBPRE003	UBPRE004	UBPRE005	UBPRE006	UBPRE007	UBPRE008	UBPRE009	UBPRE010	UBPRE011	UBPRE012	UBPRE013	UBPRE014	UBPRE015	UBPRE016	UBPRE017	UBPRE018	UBPRE019	UBPRE020	UBPRE021	UBPRE022	UBPRE023	UBPRE024	UBPRE025	UBPRE026	UBPRE027	UBPRE028	UBPRE029	UBPRE541	UBPRE542	UBPRJ248	UBPRK447	
		TOTAL EQUITY CAPITAL	NET INCOME	SURVEILLANCE MODEL ASSET GROWTH RATE	TOTAL DIVIDENDS AS PERCENT OF NET IN	ANNUAL CHANGE IN TIER 1 CAPITAL	NONCURRENT ASSETS AS PERCENT OF TOTL	RBC_T1_TOT_AA	ASET_QAVG_CYA	INC_AA	INT_EXP_AA	INT_INC_NET_AA	INC_NONINT_AA	OVHD_EXP_AA	PROV_LNLS_ATTR_AA	INC_PTAX_OP_AA	SEC_GN_AA	INC_PTAX_NET_OP_AA	INC_NET_OP_AA	INC_BEI_AA	INC_NET_SUBS_AA	INC_NET_AA	EA_AVG_AA	LIAB_IB_AA	INT_INC_EA	INT_EXP_EA	INT_INC_NET_EA	NET_LNLS_AVG_CYB	NOI_LNLS_CHGFF_CYB	LNLS_LOS_NET	LNLS_LOS_NHFS	LNLS_LOS_TOT	LNLS_ASET_TOT	NI_DIVD_ECAP_CYB	LNLS_NINV_ORE_CAP	LNLS_NET_GY	INV_TEMP_GY	NCORE_FND_LT1_GY	LNLS_TOT_PD_90_GRS	LNLS_TOT_NACCR	INCNET_NONCON_AA	NCORE DPDNCY INS LIMIT TIME DEP	
6/30/2016 11:59:59 PM	702676	23680.0000	344.0000	-2.7179	0.0000	0.7857	2.7851	14.2700	168759.5000	3.8463	1.1176	2.7288	-0.1612	1.8120	0.0593	0.6963	0.0000	0.6963	0.4077	0.4243	0.4077	0.4077	96.6994	85.1351	3.9776	1.1557	2.8219	0.0714	17.2222	11.5833	0.8139	0.8139	60.5842	2.9325	22.9012	-1.4113	-4.8399	-46.4043	0.0000	2.7851	0.0000	0.7564	
6/30/2016 11:59:59 PM	702836	12308.0000	141.0000	1.9262	120.5674	0.7871	2.1117	10.8900	112570.0000	3.9040	0.4921	3.4119	0.5863	3.5427	0.0178	0.4378	0.0000	0.4378	0.2505	0.1848	0.2505	0.2505	91.3676	74.2867	4.2729	0.5386	3.7343	0.1611	3.7234	8.5426	1.3533	1.3533	51.9075	-0.4677	11.7764	3.8850	-4.4496	1.8609	0.0000	2.1117	0.0000	-3.7208	
6/30/2016 11:59:59 PM	702911	50726.0000	2845.0000	5.7168	52.7241	6.9834	0.0907	10.0200	475344.0000	3.1413	0.3206	2.8207	0.4393	1.4533	0.0126	1.7941	0.0109	1.8050	1.1970	1.2168	1.1970	1.1970	96.6300	72.1575	3.2509	0.3318	2.9191	-0.0149			1.1958	1.1930	46.6820	5.4505	0.1405	2.5925	51.4340	22.1493	0.0662	0.0246	0.0000	-6.7652	
6/30/2016 11:59:59 PM	702966	4041.0000	301.0000	-0.7270	16.6113	10.2355	0.5781	8.6800	44223.0000	3.8984	0.2623	3.6361	0.4523	2.1844	0.0452	1.8588	0.2261	2.0849	1.3749	1.4246	1.3613	1.3613	96.1321	68.4158	4.0553	0.2729	3.7824	-0.0119			1.8832	1.8832	37.6759	13.0559	1.9050	10.4818	-10.8525		0.0834	0.4946	0.0000	-24.8954	
6/30/2016 11:59:59 PM	703039	18161.0000	1371.0000	0.6895	43.2531	3.7983	0.0803	17.2100	100914.5000	6.0707	0.2913	5.7794	1.4012	2.8717	0.0000	4.3088	0.0040	4.3128	2.7172	2.7191	2.7172	2.7172	99.6788	56.3135	6.0903	0.2923	5.7980	-0.0032			1.8907	1.8907	66.1441	8.7763	0.3254	12.5909	110.5378	-37.7684	0.0000	0.0803	0.0000	25.7369	
6/30/2016 11:59:59 PM	703552	58859.0000	5828.0000	19.2928	33.0302	13.1957	0.0640	8.1200	667657.5000	4.8591	0.3664	4.4928	1.2096	3.0875	0.3295	2.2854	0.3744	2.6598	1.7458	2.0445	1.7458	1.7458	96.8703	68.8694	5.0161	0.3782	4.6379	0.0380	80.9126	38.7282	1.4603	1.4579	77.7969	14.0025	1.3376	15.9022	54.2274	178.7763	0.0071	0.0569	0.0000	-0.9615	
6/30/2016 11:59:59 PM	703767	154770.0000	9668.0000	6.1005	74.5759	6.8744	0.2773	8.7800	1257135.5000	3.8469	0.0716	3.7753	0.5726	2.8652	-0.7716	2.2542	0.2250	2.4792	1.5381	1.5798	1.5381	1.5381	92.4123	77.7365	4.1628	0.0775	4.0853	-1.6819			1.5644	1.5644	48.1376	3.2929	3.3132	5.8572	-2.4205	-26.6129	0.0000	0.2773	0.0000	-0.9409	
6/30/2016 11:59:59 PM	704447	9265.0000	231.0000	1.4869	0.0000	3.8332	0.9084	12.8600	71967.0000	9.7542	0.2612	9.4930	4.2797	7.8147	4.9217	1.0363	0.0000	1.0363	0.6420	1.8286	0.6420	0.6420	109.3487	66.5972	8.9203	0.2389	8.6814	4.3530	1.5848	1.5703	7.5180	7.5180	72.9403	5.0525	3.5148	9.8642	39.9193	41.1945	0.2974	0.6109	0.0000	-4.8315	
6/30/2016 11:59:59 PM	704559	230050.0000	7392.0000	2.1038	0.0000	12.2417	0.9265	8.8000	1604617.0000	3.8389	0.0747	3.7642	1.1395	3.1566	0.2942	1.4529	0.0000	1.4529	0.9213	1.0368	0.9213	0.9213	88.3369	81.8545	4.3457	0.0845	4.2612	0.2599	9.3159	5.6963	1.4841	1.4802	67.5775	6.5457	12.4682	3.8367	-1.5050	-13.0060	0.0039	0.9226	0.0000	-3.3275	
6/30/2016 11:59:59 PM	704755	135830.0000	1948.0000	26.8925	0.0000	44.3320	1.0268	12.8900	899536.5000	3.5101	0.3922	3.1179	0.3953	3.0447	0.0300	0.4385	0.0009	0.4394	0.4331	0.4496	0.2900	0.4331	91.3351	64.2669	3.8431	0.4294	3.4137	0.0194	34.0820	84.1066	1.5503	1.5452	70.2408	2.9140	12.5429	47.0198	-60.1735	169.9749	0.1191	0.9076	0.0000	9.5564	
6/30/2016 11:59:59 PM	705378	5872.0000	299.0000	22.6033	15.0502	10.4446	0.1367	8.9200	62100.5000	4.7729	0.3221	4.4508	0.8374	3.6618	0.0386	1.5877	0.0064	1.5942	0.9630	0.9952	0.9630	0.9630	91.0669	66.4066	5.2411	0.3537	4.8875	0.0082	252.5000	117.0000	0.8590	0.8557	76.9265	9.0493	6.5773	22.5414	5.8824	240.5018	0.0000	0.1367	0.0000	16.0970	
6/30/2016 11:59:59 PM	705444	19106.0000	1012.0000	-3.5894	0.0000	1.1282	2.3116	10.6800	171989.5000	4.2114	0.4175	3.7940	0.2256	2.6002	0.1744	1.2450	0.0151	1.2601	1.1768	1.0024	0.8317	1.1768	93.5545	69.2845	4.5016	0.4462	4.0553	0.6181	3.8300	2.5833	1.4904	1.4904	59.8490	11.0366	16.0002	-5.5587	-20.8232	-36.3517	0.0000	2.3116	0.0000	19.4359	
6/30/2016 11:59:59 PM	705556	24953.0000	495.0000	0.0653	132.3232	-0.1027	0.3772	10.8200	217561.0000	4.1068	0.3034	3.8034	0.4504	3.2230	0.0000	1.0308	0.0588	1.0897	0.4550	0.4909	0.7192	0.4550	95.5246	74.9666	4.2992	0.3176	3.9816	-0.0619			1.2656	1.2589	55.9898	-1.3031	12.6827	4.5834	15.1359	47.8859	0.0131	0.3640	0.0000	-0.1607	
6/30/2016 11:59:59 PM	706030	9492.0000	230.0000	10.5085	0.0000	8.4304	0.2339	10.1400	90727.0000	4.0984	0.4409	3.6575	0.8289	3.7431	0.2381	0.5052	0.0154	0.5206	0.5070	0.7407	0.3436	0.5070	93.5411	70.2349	4.3814	0.4713	3.9101	0.0056	165.5000	280.5000	1.5365	1.5365	74.6178	4.9340	1.6111	7.5107	8.9276	-14.3999	0.0000	0.2339	0.0000	3.8006	
6/30/2016 11:59:59 PM	706058	11380.0000	706.0000	3.6205	56.7989	6.8710	2.2914	13.1200	85288.5000	4.4662	0.3588	4.1074	0.3940	2.7835	0.0164	1.7015	0.0000	1.7015	1.6556	1.6649	1.1230	1.6556	97.9009	73.7579	4.5620	0.3665	4.1955	0.0100	237.6667	115.5000	1.1294	1.1294	70.7261	5.4487	18.0485	-5.8201	60.7882	6.4709	0.0000	2.2914	0.0000	-9.5456	
6/30/2016 11:59:59 PM	706151	15696.0000	285.0000	-0.1154	0.0000	5.0013	0.3643	9.2900	165814.5000	3.0009	0.2605	2.7404	0.1785	2.3979	0.0000	0.5211	0.0000	0.5211	0.3438	0.3438	0.3438	0.3438	96.4264	62.0100	3.1122	0.2702	2.8420	0.0000			0.7563	0.7563	47.9853	3.6626	4.6000	-4.3310	84.6719	-17.6374	0.0000	0.3643	0.0000	22.9718	
6/30/2016 11:59:59 PM	706236	4867.0000	-456.0000	-11.8162	0.0000	-15.9776	1.7929	6.1800	78630.0000	3.7492	0.3485	3.4007	1.0022	5.5831	0.0000	-1.1802	0.0203	-1.1599	-1.1599	-1.1955	-1.1599	-1.1599	92.1836	72.9315	4.0671	0.3780	3.6891	0.0898	-33.1429	20.9286	1.7570	1.7570	42.3111	-18.0285	29.0666	6.0695	11.2796	-51.4840	0.8785	0.9145	0.0000	-11.6162	
6/30/2016 11:59:59 PM	706254	22658.0000	1609.0000	3.5522	67.3089	5.0488	0.1028	9.2000	234031.5000	4.8866	0.4230	4.4636	0.9366	3.9619	0.1316	1.3068	0.1880	1.4948	1.3750	1.5169	0.9866	1.3750	92.3361	71.1394	5.2922	0.4581	4.8341	-0.0139			1.0925	1.0925	74.4461	4.7139	11.4275	6.2022	-82.4544	14.8232	0.0000	0.1028	0.0000	17.5903	
6/30/2016 11:59:59 PM	706450	2571.0000	113.0000	-6.1649	0.0000	6.6329	0.0000	8.9100	26824.5000	5.1893	0.2759	4.9134	0.2535	4.1082	-0.2237	1.2824	0.0000	1.2824	0.8425	0.7083	0.8425	0.8425	104.7264	69.7590	4.9551	0.2634	4.6917	-0.1076			1.4553	1.4553	70.4689	8.9529	20.5119	6.3611	-37.5629		0.0000	0.0000	0.0000	-18.0720	
6/30/2016 11:59:59 PM	706656	15809.0000	448.0000	-1.0683	9.1518	6.7801	0.0336	11.1100	142695.5000	2.7836	0.3182	2.4654	0.6868	2.1234	0.0463	0.9826	0.0000	0.9826	0.6279	0.6910	0.6279	0.6279	94.3389	76.8882	2.9506	0.3373	2.6134	-0.0394			0.8491	0.8491	42.2536	5.2707	1.1646	-3.7633	-12.5782	-72.2701	0.0000	0.0336	0.0000	-15.1456	
6/30/2016 11:59:59 PM	707354	228480.0000	12473.0000	15.6188	48.1039	12.6111	0.6160	9.3400	1909802.0000	4.1223	0.3391	3.7832	1.3904	3.0911	0.1453	1.9373	0.0193	1.9566	1.3062	1.4316	1.3062	1.3062	89.6176	84.7160	4.5999	0.3784	4.2215	0.0269	99.2684	43.2263	1.0805	1.0791	73.8860	6.4770	8.4281	20.8614	-3.1380	18.5489	0.0156	0.6004	0.0000	11.9578	
6/30/2016 11:59:59 PM	707877	62570.0000	2245.0000	5.7809	0.0000	4.1331	2.0717	16.0000	387356.5000	4.3056	1.0017	3.3039	0.1941	1.8200	-0.1033	1.7813	0.0000	1.7813	1.1591	1.0399	1.1591	1.1591	95.0755	77.5019	4.5286	1.0535	3.4751	0.0177	104.8387	158.5323	2.8768	2.8696	87.8999	7.3297	17.9878	10.4168	-19.2822	92.8173	0.0000	2.0717	0.0000	23.9265	
6/30/2016 11:59:59 PM	708164	50567.0000	1486.0000	13.7789	36.3392	8.0979	0.2264	9.2100	432991.5000	4.0096	0.4351	3.5745	0.2915	2.7183	0.0878	1.0599	0.0000	1.0599	0.6864	0.8397	0.6864	0.6864	93.4755	62.4374	4.2895	0.4655	3.8240	-0.0907			1.2915	1.2915	70.8387	3.7938	6.4680	6.8165	263.9914	33.9513	0.0000	0.2264	0.0000	16.6218	
6/30/2016 11:59:59 PM	708333	20095.0000	342.0000	1.9467	49.7076	4.1711	0.5257	15.2500	126350.5000	2.3949	0.3008	2.0942	0.3799	1.7633	0.0475	0.6632	0.0981	0.7614	0.5414	0.5888	0.5414	0.5414	96.3352	64.3551	2.4860	0.3122	2.1738	0.0000			0.9677	0.9677	32.7666	1.7365	1.0482	4.5944	46.4622	499.0000	0.5257	0.0000	0.0000	-29.5258	
6/30/2016 11:59:59 PM	708379	19092.0000	450.0000	0.7975	0.0000	4.3022	0.2655	10.2800	183198.0000	3.2852	0.6441	2.6411	0.4018	2.3144	0.0655	0.6629	0.0000	0.6629	0.4913	0.3635	0.4913	0.4913	91.6479	86.7469	3.5846	0.7028	2.8818	0.2691	3.7288	3.2034	0.8602	0.8602	72.2587	4.8004	1.7304	1.7541	-29.0241	-49.1183	0.0000	0.2655	0.0000	-3.9958	
6/30/2016 11:59:59 PM	708753	4150.0000	105.0000	-0.5594	0.0000	1.1730	0.0000	14.3200	28863.0000	3.9953	0.4504	3.5449	0.3534	2.6955	0.0069	1.1958	-0.0069	1.1889	0.7276	0.7484	0.7276	0.7276	84.4957	59.6438	4.7284	0.5330	4.1953	-0.0213			1.9752	1.9752	64.6831	5.1353	0.2211	8.9139	-33.9176	0.3802	0.0000	0.0000	0.0000	-16.0866	
6/30/2016 11:59:59 PM	709143	56336.0000	1730.0000	2.6097	50.5780	8.3919	2.4369	9.5300	437014.5000	3.5956	0.5556	3.0400	0.9396	2.4727	0.2746	1.2323	0.0316	1.2639	0.7917	0.7771	0.7917	0.7917	90.4655	81.0963	3.9746	0.6141	3.3604	0.5149	4.6614	2.5775	1.3315	1.3303	54.1857	3.0761	10.7444	3.3241	69.0884	27.2719	0.0049	2.4320	0.0000	12.9949	
